"velocity","Alstom 1MW","Alstom Beluga 9","Andritz Hydro Hammerfest HS1500","Atlantis AR1000","Atlantis AR1500","Atlantis AR2000","MCT SeaGen 600kW","MCT SeaGen-S 2MW","Nova Innovation M100","ORPC TidGen","Orbital Marine Power Orbital O2","Orbital Marine Power SR2000","Sabella D10","Sabella D15","Tidal Energy Pty Ltd DHV","Verdant Gen4","Verdant Gen5","Voith 1 MW test","TTL 1 MW 3 ms Limit","TTL 1 MW 5 ms Limit"
6.55,0,7.90367907829715,0,7.90367907829715,11.8555186174457,15.8073581565943,4.74220744697829,15.8073581565943,0.790367907829715,1.1065150709616,0,15.8073581565943,7.90367907829715,19.7591976957429,1.34362544331052,0.44260602838464,2.14980070929682,7.90367907829715,0,7.90367907829715
6.56,0,7.5998056074001,0,7.5998056074001,11.3997084111002,15.1996112148002,4.55988336444006,15.1996112148002,0.75998056074001,1.06397278503601,0,15.1996112148002,7.5998056074001,18.9995140185003,1.29196695325802,0.425589114014406,2.06714712521283,7.5998056074001,0,7.5998056074001
6.57,0,7.3042791524906,0,7.3042791524906,10.9564187287359,14.6085583049812,4.38256749149436,14.6085583049812,0.73042791524906,1.02259908134868,0,14.6085583049812,7.3042791524906,18.2606978812265,1.2417274559234,0.409039632539473,1.98676392947744,7.3042791524906,0,7.3042791524906
6.58,0,7.01685282091357,0,7.01685282091357,10.5252792313704,14.0337056418271,4.21011169254814,14.0337056418271,0.701685282091357,0.9823593949279,0,14.0337056418271,7.01685282091357,17.5421320522839,1.19286497955531,0.39294375797116,1.90858396728849,7.01685282091357,0,7.01685282091357
6.59,0,6.80290070723247,0,6.80290070723247,10.2043510608487,13.6058014144649,4.08174042433948,13.6058014144649,0.680290070723247,0.952406099012545,0,13.6058014144649,6.80290070723247,17.0072517680812,1.15649312022952,0.380962439605018,1.85038899236723,6.80290070723247,0,6.80290070723247
6.6,0,6.53180099882915,0,6.53180099882915,9.79770149824372,13.0636019976583,3.91908059929749,13.0636019976583,0.653180099882915,0.914452139836081,0,13.0636019976583,6.53180099882915,16.3295024970729,1.11040616980096,0.365780855934432,1.77664987168153,6.53180099882915,0,6.53180099882915
6.61,0,6.26810466023808,0,6.26810466023808,9.40215699035712,12.5362093204762,3.76086279614285,12.5362093204762,0.626810466023808,0.877534652433331,0,12.5362093204762,6.26810466023808,15.6702616505952,1.06557779224047,0.351013860973332,1.70492446758476,6.26810466023808,0,6.26810466023808
6.62,0,6.07671000125446,0,6.07671000125446,9.1150650018817,12.1534200025089,3.64602600075268,12.1534200025089,0.607671000125446,0.850739400175625,0,12.1534200025089,6.07671000125446,15.1917750031362,1.03304070021326,0.34029576007025,1.65286512034121,6.07671000125446,0,6.07671000125446
6.63,0,5.82798980622102,0,5.82798980622102,8.74198470933154,11.655979612442,3.49679388373261,11.655979612442,0.582798980622103,0.815918572870943,0,11.655979612442,5.82798980622102,14.5699745155526,0.990758267057574,0.326367429148377,1.58521322729212,5.82798980622102,0,5.82798980622102
6.64,0,5.58603050437946,0,5.58603050437946,8.37904575656919,11.1720610087589,3.35161830262768,11.1720610087589,0.558603050437946,0.782044270613125,0,11.1720610087589,5.58603050437946,13.9650762609487,0.949625185744509,0.31281770824525,1.51940029719121,5.58603050437946,0,5.58603050437946
